Elerium,380,102.77,fill or kill,1702581069392
Apple,128,184.93,stop,1702581069642
Linen Cloth,1000,277.75,fill or kill,1702581069891
Bespin Gas,817,378.87,day,1702581070141
Google,767,176.99,stop,1702581070392
Bespin Gas,735,194.11,stop,1702581070641
Apple,953,202.47,day,1702581070891
Apple,1046,195.3,fill or kill,1702581071142
Apple,889,231.45,day,1702581071392
Google,804,404.86,fill or kill,1702581071641
Linen Cloth,158,248.05,limit,1702581071892
Google,817,265.06,fill or kill,1702581072141
Apple,569,206.59,stop,1702581072391
Elerium,215,276.19,fill or kill,1702581072642
Google,422,189.41,market,1702581072891
Elerium,314,193.25,limit,1702581073141
Elerium,384,139.42,fill or kill,1702581073392
Google,177,531.37,fill or kill,1702581073641
Google,368,263.98,fill or kill,1702581073892
Bespin Gas,201,117.21,day,1702581074142
Google,614,203.98,market,1702581074393
Google,758,214.54,market,1702581074642
Linen Cloth,215,268.27,market,1702581074893
Linen Cloth,846,274.28,fill or kill,1702581075143
Apple,760,182.13,day,1702581075392
Google,883,471.57,fill or kill,1702581075642
Elerium,1037,127.5,limit,1702581075893
Bespin Gas,527,264.91,day,1702581076144
Elerium,651,235.49,day,1702581076394
Apple,82,208.27,fill or kill,1702581076645
Bespin Gas,212,159.38,limit,1702581076895
Elerium,507,158.27,fill or kill,1702581077144
Linen Cloth,964,258.76,market,1702581077395
Linen Cloth,689,307.13,limit,1702581077644
Linen Cloth,858,298.91,market,1702581077894
Elerium,594,138.66,limit,1702581078146
Apple,503,206.69,stop,1702581078395
Google,331,283.08,day,1702581078646
Linen Cloth,364,222.42,fill or kill,1702581078896
Apple,379,186.13,fill or kill,1702581079146
Bespin Gas,270,95.01,fill or kill,1702581079397
Linen Cloth,348,262.01,fill or kill,1702581079647
Linen Cloth,718,180.43,fill or kill,1702581079897
Linen Cloth,953,186.12,stop,1702581080146
Google,980,252.88,fill or kill,1702581080396
Apple,133,214.08,stop,1702581080646
Linen Cloth,891,253.11,day,1702581080897
Google,421,304.16,stop,1702581081147
Elerium,691,156.11,fill or kill,1702581081396
Elerium,835,286.06,market,1702581081647
Google,611,323.3,fill or kill,1702581081897
Linen Cloth,672,295.99,limit,1702581082148
Elerium,962,294.05,stop,1702581082397
Linen Cloth,660,258.35,fill or kill,1702581082649
Elerium,877,162.96,day,1702581082899
Elerium,435,231.51,stop,1702581083149
Linen Cloth,336,232.1,fill or kill,1702581083399
Elerium,778,237.42,fill or kill,1702581083650
Bespin Gas,790,72.74,limit,1702581083900
Linen Cloth,501,289.55,limit,1702581084150
Apple,680,176.21,fill or kill,1702581084401
Google,446,221.62,fill or kill,1702581084650
Elerium,776,121.79,limit,1702581084901
Bespin Gas,919,239.56,limit,1702581085151
Google,991,215.48,market,1702581085401
Elerium,479,84.87,market,1702581085651
